,shoporder,Blade Activation,Continuity Fail,Device Key Not Reading,Electrode Continuity,Exposed Wire (Static),Front Stops Not Touching,Fuse Switch,High Jaw Force ,High Jaw Gap,Incorrect Insulation Orientation,Insulation Damage,Jaw Short,Low Jaw Force,Low Jaw Gap,Misaligned ,QC- Particulate Matter,Scratches,Stuck Blade,Trigger Actuation,Trigger Retraction
0,1510779,8,0,0,1,0,0,0,0,0,0,16,8,0,5,0,0,4,0,2,0
1,1508113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1510781,7,0,1,7,0,1,0,0,0,0,10,5,0,4,0,0,3,0,2,0
3,1513568,0,1,0,0,0,0,2,0,3,4,0,1,2,0,0,0,0,4,0,3
4,1512002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1512027,13,0,0,3,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0
6,1512026,5,0,0,1,0,0,0,0,1,0,14,6,0,2,0,0,3,0,1,0
7,1514189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1514191,11,0,0,2,0,5,1,0,0,0,2,1,0,1,0,0,4,0,0,0
9,1514188,10,0,0,2,0,0,0,0,0,0,5,2,0,4,0,0,0,0,0,0
10,1504586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1504585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1512004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1517972,1,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0
14,1515307,4,0,4,9,0,1,0,0,0,0,12,2,0,4,0,0,3,0,1,0
15,1512025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1518004,11,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
17,1515308,6,0,0,1,0,1,0,5,1,0,5,1,0,2,0,0,1,0,2,0
18,1517977,5,0,0,5,0,0,1,0,2,0,10,3,0,1,0,0,1,0,0,0
19,1514190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1517597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1514184,1,0,2,5,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0
22,1518279,0,0,0,3,0,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0
23,1517980,7,0,1,7,0,0,0,7,0,0,5,2,2,2,0,0,3,0,2,0
24,1519723,2,0,1,3,0,0,1,0,0,0,2,2,1,2,4,0,0,0,1,0
25,1521671,0,0,0,8,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0
26,1519767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1519721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1518003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
