Unnamed: 0,shoporder,Model,Blade Does Not Pass Front Stop,Clips Out of Specification,Contamination,Continuity Fail,Cosmetic Defect,Damaged Front Blade Pushers,Damaged Harness Cable,Desired Pattern Not Found,Engineering Sample,Faded Logo,Front Stops Not Touching,Front and Middle Stops Not Touching,Fuse Switch,High Jaw Force,High Jaw Gap,Incorrect Configuration,Incorrect Insulation Orientation,Incorrect Soldered Latis Location,Incorrect/Missing Weld,Insulation Damage,Jaw Short,Loose Knob Collar,Low Jaw Force,Low Jaw Gap,Middle Stops Not Touching,Misfeed,Rough Jaw Actuation,Rough Knob Rotation,Scratched Logo,Stuck Blade,Unable To Insert Blade Guide,Wire Exposure
13,1517972,EB213,0.0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2.0,0,0.0,1,0,0,0.0,0,0,0.0,0,0
36,1520624,EB213,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,34.0,0.0,0,0,6,0.0,0,0.0,5,0,0,3.0,0,0,2.0,0,4
45,1519724,EB213,1.0,0,0.0,0,0,0,0,0,0,0,1,0,2,0,0.0,2.0,0.0,0,2,5,3.0,0,0.0,5,0,0,0.0,0,0,3.0,0,0
53,1524591,EB213,0.0,0,0.0,0,0,0,0,0,0,0,3,0,0,0,0.0,6.0,1.0,0,0,0,0.0,0,0.0,1,0,0,3.0,0,0,2.0,0,0
65,1474621,EB213,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0
74,1473553,EB213,0.0,0,0.0,0,0,0,3,0,0,0,11,0,0,0,7.0,12.0,0.0,0,2,6,4.0,0,0.0,9,0,0,1.0,0,0,4.0,0,2
142,1486326,EB213,0.0,0,5.0,0,0,0,0,0,0,0,2,0,0,0,0.0,26.0,0.0,0,2,2,5.0,0,0.0,25,0,0,9.0,0,0,29.0,0,0
167,1489750,EB213,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0
195,1492704,EB213,1.0,0,0.0,0,0,0,2,0,0,0,2,0,0,0,1.0,7.0,20.0,0,1,1,4.0,0,0.0,8,0,0,2.0,0,0,56.0,0,4
225,1496435,EB213,0.0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,2,5,7.0,1,0.0,8,0,0,3.0,0,0,15.0,0,0
261,1501824,EB213,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0
315,1438714,EB213,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0,0,2,0.0,0,0.0,0,0,0,0.0,0,0,3.0,0,0
356,1441748,EB213,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0
411,1444521,EB213,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0
423,1446846,EB213,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0
594,1469627,EB213,0.0,0,5.0,0,0,0,1,0,0,0,0,0,3,0,0.0,0.0,0.0,0,0,4,0.0,0,0.0,12,0,0,4.0,0,0,32.0,0,5
