Unnamed: 0,shoporder,Model,Blade Activation,Bleeding Ink,Continuity Fail,Creases,Device Key Not Reading,Electrode Continuity,Exposed Wire (Static),Front Stops Not Touching,Fuse Switch,High Jaw Force,High Jaw Force ,High Jaw Gap,Incorrect Insulation Orientation,Insulation Damage,Jaw Isolation,Jaw Short,Knob Rotation,Low Jaw Force,Low Jaw Gap,Misaligned ,QC- Particulate Matter,Scratches,Stuck Blade,Tears,Trigger Actuation,Trigger Retraction,Unparallel Logos,Wrinkles
20,1517597,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1519717,EB210,2,0,0,0,0,2,0,2,0,0,0,0,0,11,0,1,0,0,0,0,15,0,0,0,2,0,0,0
56,1521800,EB210,3,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,4,0,0,0
77,1478231,EB210,2,0,0,0,0,1,0,0,0,0,16,3,0,2,0,2,0,0,1,0,0,12,0,0,31,0,0,0
79,1471225,EB210,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
83,1478233,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1470747,EB210,2,0,0,0,0,2,0,0,1,0,0,3,0,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0
87,1471222,EB210,8,0,0,0,0,4,0,2,0,0,2,6,0,0,0,0,0,0,3,0,0,2,0,0,17,0,0,0
92,1478232,EB210,8,0,0,0,0,1,0,2,1,0,2,3,0,2,0,0,0,0,2,0,0,0,0,2,16,0,0,0
95,1471226,EB210,3,0,0,0,0,4,0,2,0,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,4,0,0,0
103,1479523,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1478390,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1480478,EB210,7,0,0,0,0,2,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0
110,1481234,EB210,11,0,0,0,0,1,0,0,0,0,3,4,0,11,0,0,0,0,5,0,0,0,0,9,3,0,0,0
116,1483020,EB210,8,0,0,0,0,1,0,7,0,0,34,4,0,5,0,1,0,0,2,0,0,0,0,1,0,0,0,0
117,1483021,EB210,8,0,0,0,0,3,0,0,0,0,2,22,0,4,0,1,0,1,11,0,0,0,0,7,5,0,0,0
119,1481617,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1483022,EB210,15,0,0,0,0,4,0,0,0,0,5,16,0,2,0,5,0,0,6,0,0,0,0,3,8,0,0,0
125,1483023,EB210,14,0,0,0,0,1,0,0,0,0,0,1,0,50,0,1,0,0,0,0,0,0,0,0,14,0,1,0
133,1485150,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1486218,EB210,8,0,0,0,0,2,0,1,0,0,0,3,0,5,0,8,0,0,3,0,0,5,0,0,5,0,0,0
146,1486999,EB210,8,0,0,0,0,3,0,0,1,0,1,2,0,9,0,0,0,1,0,0,0,0,0,1,14,0,0,0
151,1484983,EB210,6,0,0,0,0,2,0,1,0,0,1,3,0,5,0,1,0,0,2,0,0,0,0,4,8,0,0,0
152,1484982,EB210,15,0,0,0,0,1,0,0,0,0,0,7,0,4,0,0,0,1,2,0,0,0,0,0,6,0,0,0
157,1486323,EB210,15,0,0,0,0,5,0,0,1,0,8,2,0,5,0,0,0,0,15,0,0,3,0,0,16,0,0,0
158,1486116,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,1485136,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,1487774,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,1482561,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1445271,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,1484444,EB210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,1486755,EB210,4,0,0,0,0,1,0,0,0,0,0,2,0,7,0,0,0,0,3,0,0,2,0,0,14,0,0,0
